"Category","Id","Label","ExpectedFile","Status","MatchCount","Matches"
"Character","CHAR-001","Arin_Rabbit","CHAR-001_","Missing","0",""
"Character","CHAR-002","Bodhi_Elephant","CHAR-002_","Missing","0",""
"Character","CHAR-003","Tara_Turtle","CHAR-003_","Missing","0",""
"Character","CHAR-004","Chinu_Squirrel","CHAR-004_","Missing","0",""
"Character","CHAR-005","Kavi_Monkey","CHAR-005_","Missing","0",""
"Character","CHAR-006","Mira_Deer","CHAR-006_","Missing","0",""
"Character","CHAR-007","Nayan_Fox","CHAR-007_","Missing","0",""
"Character","CHAR-008","Ved_Owl","CHAR-008_","Missing","0",""
"Character","CHAR-009","Veer_Bear","CHAR-009_","Missing","0",""
"Character","CHAR-010","Anu_Mouse","CHAR-010_","Missing","0",""
"Character","CHAR-011","Mayur_Peacock","CHAR-011_","Missing","0",""
"Character","CHAR-012","Vani_Parrot","CHAR-012_","Missing","0",""
"Character","CHAR-013","Mitra_Dog","CHAR-013_","Missing","0",""
"Character","CHAR-014","Gauri_Cow","CHAR-014_","Missing","0",""
"Character","CHAR-015","Simha_Lion","CHAR-015_","Missing","0",""
"Environment","TER-001","GrassPatch","TER-001_GrassPatch.png","Found","2","TER-001_GrassPatch.png"
"Environment","TER-002","ForestFloor","TER-002_ForestFloor.png","Found","2","TER-002_ForestFloor.png"
"Environment","TER-003","Meadow","TER-003_Meadow.png","Found","2","TER-003_Meadow.png"
"Environment","TER-004","Hill","TER-004_Hill.png","Found","2","TER-004_Hill.png"
"Environment","TER-005","DirtPath","TER-005_DirtPath.png","Found","2","TER-005_DirtPath.png"
"Environment","TER-006","RiverBank","TER-006_RiverBank.png","Found","2","TER-006_RiverBank.png"
"Environment","TER-007","PondEdge","TER-007_PondEdge.png","Found","2","TER-007_PondEdge.png"
"Environment","TER-008","Clearing","TER-008_Clearing.png","Found","2","TER-008_Clearing.png"
"Environment","TRE-001","OakTree","TRE-001_OakTree.png","Found","1","TRE-001_OakTree.png"
"Environment","TRE-002","BanyanTree","TRE-002_BanyanTree.png","Found","1","TRE-002_BanyanTree.png"
"Environment","TRE-003","MangoTree","TRE-003_MangoTree.png","Found","1","TRE-003_MangoTree.png"
"Environment","TRE-004","PineTree","TRE-004_PineTree.png","Found","1","TRE-004_PineTree.png"
"Environment","TRE-005","FloweringTree","TRE-005_FloweringTree.png","Found","1","TRE-005_FloweringTree.png"
"Environment","TRE-006","HollowTree","TRE-006_HollowTree.png","Found","1","TRE-006_HollowTree.png"
"Environment","TRE-007","TreeStump","TRE-007_TreeStump.png","Found","1","TRE-007_TreeStump.png"
"Environment","TRE-008","FallenLog","TRE-008_FallenLog.png","Found","1","TRE-008_FallenLog.png"
"Environment","PLT-001","Bush","PLT-001_Bush.png","Missing","0",""
"Environment","PLT-002","Fern","PLT-002_Fern.png","Missing","0",""
"Environment","PLT-003","Wildflowers","PLT-003_Wildflowers.png","Missing","0",""
"Environment","PLT-004","FlowerPatch","PLT-004_FlowerPatch.png","Missing","0",""
"Environment","PLT-005","GrassTufts","PLT-005_GrassTufts.png","Missing","0",""
"Environment","PLT-006","Bamboo","PLT-006_Bamboo.png","Missing","0",""
"Environment","PLT-007","Mushrooms","PLT-007_Mushrooms.png","Missing","0",""
"Environment","PLT-008","Reeds","PLT-008_Reeds.png","Missing","0",""
"Environment","PLT-009","Vines","PLT-009_Vines.png","Missing","0",""
"Environment","PLT-010","BerryBush","PLT-010_BerryBush.png","Missing","0",""
"Environment","PLT-011","LotusLeaves","PLT-011_LotusLeaves.png","Missing","0",""
"Environment","PLT-012","FallenLeaves","PLT-012_FallenLeaves.png","Missing","0",""
"Environment","WAT-001","Stream","WAT-001_Stream.png","Missing","0",""
"Environment","WAT-002","Pond","WAT-002_Pond.png","Missing","0",""
"Environment","WAT-003","River","WAT-003_River.png","Missing","0",""
"Environment","WAT-004","SteppingStones","WAT-004_SteppingStones.png","Missing","0",""
"Environment","WAT-005","LilyPads","WAT-005_LilyPads.png","Missing","0",""
"Environment","WAT-006","TinyBridge","WAT-006_TinyBridge.png","Missing","0",""
"Environment","ROC-001","SmallRock","ROC-001_SmallRock.png","Missing","0",""
"Environment","ROC-002","LargeRock","ROC-002_LargeRock.png","Missing","0",""
"Environment","ROC-003","Pebbles","ROC-003_Pebbles.png","Missing","0",""
"Environment","ROC-004","FlatRock","ROC-004_FlatRock.png","Missing","0",""
"Environment","ROC-005","CaveEntrance","ROC-005_CaveEntrance.png","Missing","0",""
"Environment","PRP-001","Branch","PRP-001_Branch.png","Missing","0",""
"Environment","PRP-002","FallenLog","PRP-002_FallenLog.png","Missing","0",""
"Environment","PRP-003","WoodenSign","PRP-003_WoodenSign.png","Missing","0",""
"Environment","PRP-004","Fence","PRP-004_Fence.png","Missing","0",""
"Environment","PRP-005","RopeBridge","PRP-005_RopeBridge.png","Missing","0",""
"Environment","PRP-006","LogSeat","PRP-006_LogSeat.png","Missing","0",""
"Environment","PRP-007","WoodenCrate","PRP-007_WoodenCrate.png","Missing","0",""
"Environment","PRP-008","Barrel","PRP-008_Barrel.png","Missing","0",""
"Environment","SKY-001","BlueSky","SKY-001_BlueSky.png","Missing","0",""
"Environment","SKY-002","Clouds","SKY-002_Clouds.png","Missing","0",""
"Environment","SKY-003","Sunrise","SKY-003_Sunrise.png","Missing","0",""
"Environment","SKY-004","Sunset","SKY-004_Sunset.png","Missing","0",""
"Environment","SKY-005","MoonAndStars","SKY-005_MoonAndStars.png","Missing","0",""
"Environment","SKY-006","LightRain","SKY-006_LightRain.png","Missing","0",""
"Environment","SKY-007","Rainbow","SKY-007_Rainbow.png","Missing","0",""
"Environment","SKY-008","GentleWind","SKY-008_GentleWind.png","Missing","0",""
"Environment","DET-001","Butterfly","DET-001_Butterfly.png","Missing","0",""
"Environment","DET-002","Bee","DET-002_Bee.png","Missing","0",""
"Environment","DET-003","Dragonfly","DET-003_Dragonfly.png","Missing","0",""
"Environment","DET-004","Feather","DET-004_Feather.png","Missing","0",""
